Model,Accuracy,Precision,Recall,F1-Score,Rank
Local Outlier Factor,0.8064422095904387,0.9211944062356716,0.7091237977587576,0.8013661065962008,1
Autoencoder,0.6926225525919448,0.8644487314818186,0.5238904085414277,0.6524002472357667,2
One-Class SVM,0.631734926881407,0.9028985507246376,0.3710623841877702,0.5259685438228948,3
Isolation Forest,0.3687994947286596,0.4220064877062667,0.3960337068737316,0.4086077793203905,4
